"5,""C_Sp_int1 - E_Sp_old"",""2"",""-3.35"",""0.963"",""-17.52"",""0.814"",""15.61"",""0.579"",""-0.11"",""1"",""-0.43"",""0.566"",""-3.01"",""0.636"",""-0.27"",""0.848"",""-0.82"",""0.032"",""-0.49"",""0.148"",""-1.21"",""0.713"",""1.33"",""0.723"",""1.23"",""0.661"",""0.66"",""0.074"",""0.28"",""0.038"",""0.25"",""0.102"",""3.12"",""0.149"",""854"",""0.246"""
"6,""D_Sp_int2 - E_Sp_old"",""2"",""3.25"",""0.953"",""-0.64"",""1"",""11.07"",""0.795"",""-8.66"",""0.956"",""-0.18"",""0.942"",""-0.89"",""0.989"",""-0.08"",""0.995"",""-0.66"",""0.089"",""-0.37"",""0.331"",""0.78"",""0.901"",""1"",""0.859"",""1.42"",""0.554"",""0.36"",""0.493"",""0.13"",""0.548"",""0.13"",""0.594"",""1.77"",""0.585"",""-260"",""0.932"""
"7,""B_Sp_young - C_Sp_int1"",""4"",""-28.61"",""0.006"",""27.58"",""0.528"",""4.98"",""0.975"",""-24.08"",""0.617"",""0.67"",""0.207"",""2.19"",""0.866"",""0.71"",""0.204"",""0.22"",""0.797"",""0.4"",""0.271"",""0.2"",""0.998"",""0.67"",""0.952"",""-0.13"",""0.999"",""-0.11"",""0.979"",""-0.07"",""0.914"",""-0.06"",""0.959"",""-1.59"",""0.664"",""65.67"",""0.999"""
"8,""B_Sp_young - D_Sp_int2"",""4"",""-16.07"",""0.152"",""10.47"",""0.951"",""-3.54"",""0.991"",""-13.41"",""0.901"",""0.8"",""0.163"",""1.36"",""0.947"",""0.45"",""0.559"",""0.27"",""0.685"",""0.26"",""0.613"",""0.35"",""0.989"",""-0.33"",""0.993"",""-2.09"",""0.24"",""-0.39"",""0.537"",""-0.12"",""0.682"",""-0.15"",""0.591"",""-3.3"",""0.118"",""762.33"",""0.335"""
"9,""B_Sp_young - E_Sp_old"",""4"",""-17.78"",""0.101"",""9.45"",""0.963"",""0.61"",""1"",""-25.29"",""0.581"",""0.47"",""0.482"",""-7.82"",""0.037"",""0.48"",""0.504"",""-0.26"",""0.691"",""0.1"",""0.961"",""-3.4"",""0.039"",""0"",""1"",""-0.97"",""0.796"",""-0.1"",""0.987"",""-0.03"",""0.991"",""-0.04"",""0.989"",""-1.55"",""0.679"",""357.33"",""0.846"""
"10,""C_Sp_int1 - D_Sp_int2"",""4"",""12.55"",""0.238"",""-17.12"",""0.824"",""-8.52"",""0.893"",""10.67"",""0.922"",""0.12"",""0.985"",""-0.83"",""0.991"",""-0.26"",""0.87"",""0.06"",""0.996"",""-0.14"",""0.904"",""0.16"",""0.999"",""-1"",""0.859"",""-1.96"",""0.29"",""-0.28"",""0.681"",""-0.05"",""0.947"",""-0.09"",""0.805"",""-1.72"",""0.61"",""696.67"",""0.41"""
"11,""C_Sp_int1 - E_Sp_old"",""4"",""10.83"",""0.35"",""-18.13"",""0.799"",""-4.36"",""0.983"",""-1.21"",""1"",""-0.2"",""0.922"",""-10"",""0.016"",""-0.22"",""0.908"",""-0.48"",""0.249"",""-0.3"",""0.503"",""-3.6"",""0.028"",""-0.67"",""0.952"",""-0.84"",""0.857"",""0.02"",""1"",""0.04"",""0.976"",""0.02"",""0.997"",""0.03"",""1"",""291.67"",""0.908"""
"12,""D_Sp_int2 - E_Sp_old"",""4"",""-1.71"",""0.992"",""-1.01"",""1"",""4.15"",""0.985"",""-11.88"",""0.897"",""-0.33"",""0.799"",""-9.17"",""0.014"",""0.03"",""1"",""-0.54"",""0.19"",""-0.16"",""0.871"",""-3.75"",""0.021"",""0.33"",""0.993"",""1.12"",""0.722"",""0.3"",""0.644"",""0.09"",""0.778"",""0.11"",""0.69"",""1.75"",""0.595"",""-405"",""0.792"""
",""contrast"",""age_class"",""BI"",""BI"",""SI"",""SI"",""EI"",""EI"",""CI"",""CI"",""MI"",""MI"",""PPI"",""PPI"",""MI25"",""MI25"",""sigmaMI"",""sigmaMI"",""sigmaMI25"",""sigmaMI25"",""PPI.1"",""PPI.1"",""SR"",""SR"",""rarefy"",""rarefy"",""H"",""H"",""D"",""D"",""J"",""J"",""H1"",""H1"",""N"",""N"""
"1,""2 - 4"",""B_Sp_young"",""12.74"",""0.063"",""-23.26"",""0.13"",""12.92"",""0.315"",""-5.03"",""0.792"",""-0.79"",""0.012"",""-0.56"",""0.791"",""-0.62"",""0.04"",""-0.33"",""0.004"",""-0.28"",""0.076"",""0.02"",""0.985"",""-1"",""0.425"",""-0.08"",""0.937"",""0.06"",""0.841"",""0.04"",""0.7"",""0.05"",""0.695"",""1.24"",""0.394"",""-347.67"",""0.449"""
"2,""2 - 4"",""C_Sp_int1"",""-19.95"",""0.01"",""-1.33"",""0.925"",""19.08"",""0.152"",""-8.57"",""0.605"",""-0.26"",""0.309"",""0.13"",""0.958"",""-0.02"",""0.93"",""-0.4"",""0.002"",""-0.03"",""0.816"",""-0.37"",""0.731"",""-0.33"",""0.787"",""-0.38"",""0.72"",""0.11"",""0.679"",""0.04"",""0.65"",""0.06"",""0.555"",""0.6"",""0.678"",""181"",""0.689"""
"3,""2 - 4"",""D_Sp_int2"",""-0.8"",""0.874"",""-1.56"",""0.913"",""6.02"",""0.631"",""-6.44"",""0.696"",""0.11"",""0.699"",""1.43"",""0.571"",""-0.09"",""0.739"",""-0.18"",""0.084"",""-0.06"",""0.667"",""1.78"",""0.123"",""-1.67"",""0.199"",""-2.15"",""0.07"",""-0.48"",""0.095"",""-0.16"",""0.123"",""-0.15"",""0.175"",""-2.47"",""0.111"",""-236.33"",""0.603"""
"4,""2 - 4"",""E_Sp_old"",""-5.77"",""0.277"",""-1.94"",""0.892"",""-0.9"",""0.942"",""-9.66"",""0.56"",""-0.03"",""0.892"",""-6.86"",""0.014"",""0.03"",""0.923"",""-0.06"",""0.526"",""0.15"",""0.301"",""-2.75"",""0.028"",""-2.33"",""0.086"",""-2.45"",""0.044"",""-0.54"",""0.065"",""-0.2"",""0.068"",""-0.17"",""0.138"",""-2.49"",""0.109"",""-381.33"",""0.408"""
",""Env"",""DF"",""BI"",""BI"",""SI"",""SI"",""EI"",""EI"",""CI"",""CI"",""MI"",""MI"",""PPI"",""PPI"",""MI25"",""MI25"",""sigmaMI"",""sigmaMI"",""sigmaMI25"",""sigmaMI25"",""PPI.1"",""PPI.1"",""SR"",""SR"",""rarefy"",""rarefy"",""H"",""H"",""D"",""D"",""J"",""J"",""H1"",""H1"",""N"",""N"""
"1,""X"",""X"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"""
"2,""(Intercept)"",""1"",""26.47"",""0"",""9.91"",""0.002"",""60.64"",""0"",""0.37"",""0.545"",""81.77"",""0"",""2.1"",""0.147"",""103.93"",""0"",""187.79"",""0"",""286.62"",""0"",""2.03"",""0.154"",""150.21"",""0"",""136.57"",""0"",""88.32"",""0"",""118.21"",""0"",""94.73"",""0"",""29.89"",""0"",""21.07"",""0"""
"3,""age_class"",""3"",""0.94"",""0.817"",""1.13"",""0.77"",""2.09"",""0.553"",""1.96"",""0.58"",""1.87"",""0.601"",""1.52"",""0.678"",""0.72"",""0.868"",""12.78"",""0.005"",""5.94"",""0.115"",""3.4"",""0.334"",""1.48"",""0.686"",""2.45"",""0.484"",""7.79"",""0.05"",""10.17"",""0.017"",""6.63"",""0.085"",""5.39"",""0.145"",""7.39"",""0.06"""
"4,""samcam"",""1"",""5.15"",""0.023"",""2.84"",""0.092"",""1.15"",""0.284"",""0.08"",""0.779"",""11.38"",""0.001"",""0.08"",""0.782"",""5.98"",""0.014"",""19.8"",""0"",""4.16"",""0.041"",""0"",""0.984"",""0.71"",""0.401"",""0.01"",""0.935"",""0.04"",""0.832"",""0.17"",""0.682"",""0.17"",""0.677"",""0.81"",""0.368"",""0.63"",""0.426"""
"5,""age_class:samcam"",""3"",""17.47"",""0.001"",""1.85"",""0.605"",""1.54"",""0.673"",""0.05"",""0.997"",""7.91"",""0.048"",""9.33"",""0.025"",""4.19"",""0.242"",""10.33"",""0.016"",""4.98"",""0.173"",""9.84"",""0.02"",""1.57"",""0.667"",""4.14"",""0.247"",""5.47"",""0.14"",""5.6"",""0.133"",""4.35"",""0.226"",""6.18"",""0.103"",""1.05"",""0.788"""
"6,""R2m"",NA,NA,""0.48"",NA,""0.14"",NA,""0.18"",NA,""0.19"",NA,""0.33"",NA,""0.52"",NA,""0.22"",NA,""0.51"",NA,""0.31"",NA,""0.45"",NA,""0.22"",NA,""0.36"",NA,""0.38"",NA,""0.39"",NA,""0.31"",NA,""0.35"",NA,""0.34"""
