"5,""R2m"",NA,NA,""0.48"",NA,""0.14"",NA,""0.18"",NA,""0.19"",NA,""0.33"",NA,""0.52"",NA,""0.22"",NA,""0.51"",NA,""0.31"",NA,""0.45"",NA,""0.22"",NA,""0.36"",NA,""0.38"",NA,""0.39"",NA,""0.31"",NA,""0.35"",NA,""0.34"""
"6,""R2c"",NA,NA,""0.69"",NA,""0.58"",NA,""0.18"",NA,""0.3"",NA,""0.65"",NA,""0.69"",NA,""0.56"",NA,""0.95"",NA,""0.71"",NA,""0.55"",NA,""0.32"",NA,""0.4"",NA,""0.38"",NA,""0.39"",NA,""0.31"",NA,""0.35"",NA,""0.34"""
"7,""X"",""X"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"""
",""Factor1"",""Factor1"",""BI"",""BI"",""SI"",""SI"",""EI"",""EI"",""CI"",""CI"",""MI"",""MI"",""PPI"",""PPI"",""MI25"",""MI25"",""sigmaMI"",""sigmaMI"",""sigmaMI25"",""sigmaMI25"",""PPI.1"",""PPI.1"",""SR"",""SR"",""rarefy"",""rarefy"",""H"",""H"",""D"",""D"",""J"",""J"",""H1"",""H1"",""N"",""N"""
"1,""age_class"",""samcam"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"",""lsmean"",""group"""
"2,""B_Sp_young"",""2"",""22.7629436839963"","" 12"",""44.224924012158"","" 1"",""66.3513513513514"","" 1"",""7.3015873015873"","" 1"",""2.05600664645323"","" 1"",""2.56671508611745"","" 12"",""2.43053145684725"","" 1"",""2.29957513277104"","" 12  "",""2.51995051731894"","" 1"",""1.14168762514464"","" 12"",""11"","" 1"",""8.76868978537469"","" 1"",""1.65328396883007"","" 1"",""0.723743980660853"","" 1"",""0.69090951992791"","" 1"",""5.33537792722356"","" 1"",""1419.66666666667"","" 1"""
"3,""C_Sp_int1"",""2"",""18.6842429637486"","" 12"",""38.5653653320945"","" 1"",""67.5334701852002"","" 1"",""27.8514294765186"","" 1"",""1.91615247085747"","" 1"",""1.06593550071811"","" 1 "",""2.32209709896338"","" 1"",""2.00529239766082"","" 1 3 "",""2.36380981681186"","" 1"",""0.558098798267154"","" 1 "",""11"","" 1"",""8.60512453573291"","" 1"",""1.81282596307158"","" 1"",""0.795527711888092"","" 1"",""0.763229988684291"","" 1"",""6.27665930769409"","" 1"",""1882.66666666667"","" 1"""
"4,""D_Sp_int2"",""2"",""25.2865483480178"","" 12"",""55.4527639034681"","" 1"",""62.9885057471264"","" 1"",""19.3015873015873"","" 1"",""2.16176470588235"","" 1"",""3.19015701227914"","" 12"",""2.51464646464647"","" 1"",""2.16765750430799"","" 1234"",""2.47783739709093"","" 1"",""2.54426263307842"","" 12"",""10.6666666666667"","" 1"",""8.79712936626329"","" 1"",""1.50771434861038"","" 1"",""0.637567722436752"","" 1"",""0.640344833557773"","" 1"",""4.92718602267569"","" 1"",""768.666666666667"","" 1"""
"5,""E_Sp_old"",""2"",""22.0363088664002"","" 12"",""56.0896093379129"","" 1"",""51.9199346405229"","" 1"",""27.960927960928"","" 1"",""2.34161220043573"","" 1"",""4.08045459480518"","" 12"",""2.59539969834088"","" 1"",""2.82878470251106"","" 1234"",""2.85137085137085"","" 1"",""1.76683965353662"","" 12"",""9.66666666666667"","" 1"",""7.37782726967927"","" 1"",""1.14851572358917"","" 1"",""0.510588847360687"","" 1"",""0.512832257314528"","" 1"",""3.15381668534674"","" 1"",""1028.66666666667"","" 1"""
"6,""B_Sp_young"",""4"",""10.0228335614973"","" 1 "",""67.4802862482336"","" 1"",""53.4335266301476"","" 1"",""12.3338026354045"","" 1"",""2.84772749679582"","" 1"",""3.12224596391263"","" 12"",""3.05181079083519"","" 1"",""2.62465898637305"",""   34"",""2.80110617961085"","" 1"",""1.12113628412972"","" 12"",""12"","" 1"",""8.85206987831718"","" 1"",""1.59428278750505"","" 1"",""0.680611586052482"","" 1"",""0.644152514655579"","" 1"",""4.09236898892828"","" 1"",""1767.33333333333"","" 1"""
"7,""C_Sp_int1"",""4"",""38.6346544462608"",""  2"",""39.8982439353248"","" 1"",""48.4547681321875"","" 1"",""36.4186327888687"","" 1"",""2.17352680496113"","" 1"",""0.934013142271149"","" 12"",""2.34498974807192"","" 1"",""2.40703919933278"",""  2 4"",""2.39704299228109"","" 1"",""0.924276104783204"","" 12"",""11.3333333333333"","" 1"",""8.98592698826908"","" 1"",""1.70569410322502"","" 1"",""0.750965571093255"","" 1"",""0.701126818160574"","" 1"",""5.68155716195478"","" 1"",""1701.66666666667"","" 1"""
"8,""D_Sp_int2"",""4"",""26.0883244271503"","" 12"",""57.0147562546032"","" 1"",""56.9706775059353"","" 1"",""25.7439469606474"","" 1"",""2.04855446055049"","" 1"",""1.76344968836626"","" 1 "",""2.60214172395558"","" 1"",""2.35178333523547"","" 1234"",""2.5394015082089"","" 1"",""0.767900036051892"","" 12"",""12.3333333333333"","" 1"",""10.942521454102"","" 1"",""1.98521984523611"","" 1"",""0.802131994129429"","" 1"",""0.791394073590363"","" 1"",""7.39667994144063"","" 1"",""1005"","" 1"""
"9,""E_Sp_old"",""4"",""27.8013165887135"","" 12"",""58.0261195673002"","" 1"",""52.8193118357053"","" 1"",""37.6238883299217"","" 1"",""2.37453542392567"","" 1"",""10.937908496732"",""  2"",""2.56998556998557"","" 1"",""2.88898783755927"","" 1234"",""2.69902971925848"","" 1"",""4.52033259540375"",""  2"",""12"","" 1"",""9.82579133716342"","" 1"",""1.69010857540861"","" 1"",""0.712522635970203"","" 1"",""0.68014972536405"","" 1"",""5.64684109038077"","" 1"",""1410"","" 1"""
",""contrast"",""samcam"",""BI"",""BI"",""SI"",""SI"",""EI"",""EI"",""CI"",""CI"",""MI"",""MI"",""PPI"",""PPI"",""MI25"",""MI25"",""sigmaMI"",""sigmaMI"",""sigmaMI25"",""sigmaMI25"",""PPI.1"",""PPI.1"",""SR"",""SR"",""rarefy"",""rarefy"",""H"",""H"",""D"",""D"",""J"",""J"",""H1"",""H1"",""N"",""N"""
"1,""B_Sp_young - C_Sp_int1"",""2"",""4.08"",""0.937"",""5.66"",""0.992"",""-1.18"",""1"",""-20.55"",""0.633"",""0.14"",""0.971"",""1.5"",""0.93"",""0.11"",""0.988"",""0.29"",""0.62"",""0.16"",""0.878"",""0.58"",""0.954"",""0"",""1"",""0.16"",""0.999"",""-0.16"",""0.917"",""-0.07"",""0.87"",""-0.07"",""0.887"",""-0.94"",""0.902"",""-463"",""0.719"""
"2,""B_Sp_young - D_Sp_int2"",""2"",""-2.52"",""0.977"",""-11.23"",""0.941"",""3.36"",""0.992"",""-12"",""0.894"",""-0.11"",""0.987"",""-0.62"",""0.996"",""-0.08"",""0.994"",""0.13"",""0.942"",""0.04"",""0.997"",""-1.4"",""0.613"",""0.33"",""0.993"",""-0.03"",""1"",""0.15"",""0.935"",""0.09"",""0.797"",""0.05"",""0.957"",""0.41"",""0.991"",""651"",""0.467"""
"3,""B_Sp_young - E_Sp_old"",""2"",""0.73"",""0.999"",""-11.86"",""0.931"",""14.43"",""0.637"",""-20.66"",""0.63"",""-0.29"",""0.811"",""-1.51"",""0.929"",""-0.16"",""0.96"",""-0.53"",""0.199"",""-0.33"",""0.427"",""-0.63"",""0.945"",""1.33"",""0.723"",""1.39"",""0.57"",""0.5"",""0.221"",""0.21"",""0.151"",""0.18"",""0.323"",""2.18"",""0.416"",""391"",""0.808"""
"4,""C_Sp_int1 - D_Sp_int2"",""2"",""-6.6"",""0.786"",""-16.89"",""0.83"",""4.54"",""0.981"",""8.55"",""0.958"",""-0.25"",""0.869"",""-2.12"",""0.875"",""-0.19"",""0.939"",""-0.16"",""0.9"",""-0.11"",""0.947"",""-1.99"",""0.331"",""0.33"",""0.993"",""-0.19"",""0.998"",""0.31"",""0.621"",""0.16"",""0.368"",""0.12"",""0.622"",""1.35"",""0.764"",""1114"",""0.09"""
