"","Env","DF","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"5","C_Sp_int1 - E_Sp_old","2","1.73","0.126","1.7","0","1.1","0.803","0.6","0.669","0.88","0.798","-2.85","0.016","-2.35","0","1.62","0.207"
"6","D_Sp_int2 - E_Sp_old","2","0.57","0.871","0.77","0.194","1.39","0.646","0.4","0.882","1.56","0.375","-2.18","0.108","-0.81","0.138","1.52","0.263"
"7","B_Sp_young - C_Sp_int1","4","-0.89","0.607","-1.37","0.005","0.7","0.694","-0.62","0.747","-0.29","0.991","2.19","0.132","1.45","0.002","-0.43","0.954"
"8","B_Sp_young - D_Sp_int2","4","-0.96","0.544","-0.98","0.042","0.45","0.846","-0.45","0.911","-1.21","0.6","1.12","0.656","0.9","0.062","-0.94","0.666"
"9","B_Sp_young - E_Sp_old","4","-0.71","0.758","-0.34","0.804","0.59","0.715","-0.64","0.728","-0.35","0.988","-0.46","0.964","0.13","0.984","-0.39","0.966"
"10","C_Sp_int1 - D_Sp_int2","4","-0.07","1","0.39","0.764","-0.26","0.98","0.16","0.992","-0.92","0.768","-1.08","0.71","-0.55","0.531","-0.51","0.924"
"11","C_Sp_int1 - E_Sp_old","4","0.18","0.994","1.03","0.055","-0.11","0.998","-0.02","1","-0.06","1","-2.65","0.04","-1.32","0.007","0.04","1"
"12","D_Sp_int2 - E_Sp_old","4","0.24","0.985","0.64","0.297","0.15","0.994","-0.19","0.988","0.86","0.833","-1.58","0.351","-0.77","0.143","0.55","0.906"
"","contrast","age_class","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"1","2 - 4","B_Sp_young","0.07","0.895","1.24","0.001","-1.53","0.006","0.74","0.171","0.52","0.423","-0.77","0.033","-0.69","0.052","0.06","0.899"
"2","2 - 4","C_Sp_int1","0.53","0.349","0.12","0.748","-1.02","0.165","0.23","0.54","0.41","0.501","0.88","0.054","-0.14","0.729","0.57","0.232"
"3","2 - 4","D_Sp_int2","-0.7","0.139","-0.42","0.234","-0.99","0.09","0.19","0.696","0.17","0.782","0.47","0.191","0.85","0.017","-0.04","0.935"
"4","2 - 4","E_Sp_old","-1.03","0.047","-0.55","0.146","-2.23","0.034","-0.39","0.385","-0.53","0.476","1.07","0.001","0.89","0.015","-1.01","0.043"
"","Env","DF","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"2","(Intercept)","1","29.68","0","3.71","0.054","57.53","0","79.3","0","9.38","0.002","3.49","0.062","0.05","0.827","6.93","0.008"
"3","age_class","3","5.23","0.155","23.83","0","1.46","0.692","1.38","0.71","2.62","0.455","10.28","0.016","41.53","0","5.03","0.169"
"4","samcam","1","0.02","0.895","11.87","0.001","7.56","0.006","1.87","0.171","0.64","0.423","4.55","0.033","3.79","0.052","0.02","0.899"
"5","age_class:samcam","3","5.3","0.151","15.17","0.002","1.38","0.71","2.69","0.443","1.32","0.725","16.18","0.001","13.83","0.003","5.4","0.145"
"6","R2m",NA,NA,"0.07",NA,"0.1",NA,"0.18",NA,"0.02",NA,"0.06",NA,"0.2",NA,"0.14",NA,"0.06"
"7","R2c",NA,NA,"0.17",NA,"0.1",NA,"0.23",NA,"0.05",NA,"0.23",NA,"0.41",NA,"0.14",NA,"0.21"
"8","X","X","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial"
"","Env","DF","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"2","age_class","4","17.32","0.002","16.15","0.003","11.09","0.026","2.61","0.624","1.73","0.786","9.15","0.057","24.5","0","3.43","0.489"
"3","R2m",NA,NA,"0.12",NA,"0.09",NA,"0.24",NA,"0.02",NA,"0.02",NA,"0.12",NA,"0.1",NA,"0.04"
"4","R2c",NA,NA,"0.12",NA,"0.09",NA,"0.24",NA,"0.02",NA,"0.02",NA,"0.12",NA,"0.1",NA,"0.04"
"5","X","X","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial"
"","Env","DF","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"2","NA","NA","12.07","0.017","11.46","0.022","13.33","0.01","2.5","0.645","1.63","0.804","7.22","0.125","15.59","0.004","3.15","0.533"
"3","R2m",NA,NA,"0.12",NA,"0.09",NA,"0.24",NA,"0.02",NA,"0.02",NA,"0.12",NA,"0.1",NA,"0.04"
"4","R2c",NA,NA,"0.12",NA,"0.09",NA,"0.24",NA,"0.02",NA,"0.02",NA,"0.12",NA,"0.1",NA,"0.04"
"5","X","X","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial"
"","Contrast","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value"
"1","A_Cm - avg(B_Sp_young,C_Sp_int1,D_Sp_int2,E_Sp_old)","-0.069","0.002","0.197","0.003","-0.023","0.006","0.013","0.341","-0.01","0.945","-0.1","0.435","-0.127","0.057","-0.065","0.439"
"","Contrast","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value"
"1","B_Sp_young - A_Cm","0.03","0.369","-0.226","0.066","0.035","0.005","-0.007","0.977","-0.024","0.976","0.096","0.855","0.183","0.154","-0.003","1"
"2","C_Sp_int1 - A_Cm","0.136","0","-0.047","0.962","0.021","0.039","-0.018","0.771","-0.004","1","-0.081","0.798","-0.134","0.303","0.118","0.648"
"3","D_Sp_int2 - A_Cm","0.066","0.031","-0.199","0.136","0.021","0.04","0.001","1","0.096","0.715","-0.007","1","0.142","0.347","0.165","0.433"
"4","E_Sp_old - A_Cm","0.042","0.175","-0.317","0.001","0.012","0.194","-0.027","0.423","-0.027","0.965","0.39","0.057","0.317","0.002","-0.019","0.991"
