"","Env","DF","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae","Rhabditidae","Rhabditidae","Aporcelaimidae","Aporcelaimidae","Aphelenchoididae","Aphelenchoididae","Panagrolaimidae","Panagrolaimidae"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"","Env","DF","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae","Rhabditidae","Rhabditidae","Aporcelaimidae","Aporcelaimidae","Aphelenchoididae","Aphelenchoididae","Panagrolaimidae","Panagrolaimidae"
"1","X","X","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value"
"2","age_class","4","19.63","0.001","78.28","0","13.68","0.008","12.99","0.011","9.38","0.052","15.19","0.004","17.63","0.001","13.48","0.009","50","0","3.92","0.417"
"3","R2m",NA,NA,"0.57",NA,"0.86",NA,"0.48",NA,"0.45",NA,"0.38",NA,"0.51",NA,"0.53",NA,"0.47",NA,"0.77",NA,"0.2"
"4","R2c",NA,NA,"0.57",NA,"0.86",NA,"0.48",NA,"0.45",NA,"0.38",NA,"0.51",NA,"0.53",NA,"0.47",NA,"0.77",NA,"0.2"
"5","X","X","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson"
"","Env","DF","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae","Rhabditidae","Rhabditidae","Aporcelaimidae","Aporcelaimidae","Aphelenchoididae","Aphelenchoididae","Panagrolaimidae","Panagrolaimidae"
"1","X","X","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value"
"2","NA","NA","12.86","0.012","27.35","0","9.5","0.05","9.69","0.046","7.31","0.12","10.72","0.03","12.04","0.017","10.29","0.036","23.49","0","3.57","0.467"
"3","R2m",NA,NA,"0.57",NA,"0.86",NA,"0.48",NA,"0.45",NA,"0.38",NA,"0.51",NA,"0.53",NA,"0.47",NA,"0.77",NA,"0.2"
"4","R2c",NA,NA,"0.57",NA,"0.86",NA,"0.48",NA,"0.45",NA,"0.38",NA,"0.51",NA,"0.53",NA,"0.47",NA,"0.77",NA,"0.2"
"5","X","X","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson"
"","Contrast","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value"
"1","A_Cm - avg(B_Sp_young,C_Sp_int1,D_Sp_int2,E_Sp_old)","-319.621","0","-148.838","0","-432.169","0.003","-431.209","0.01","-41.153","0.016","-124.827","0.001","-89.999","0.012","-39.262","0.004","-101.12","0","-38.956","0.086"
"","Contrast","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value"
"1","B_Sp_young - A_Cm","27.707","0.861","9.895","0.065","81.054","0.317","8.203","0.998","13.126","0.64","43.913","0.271","-6.863","0.97","9.692","0.581","12.632","0.188","22.87","0.631"
"2","C_Sp_int1 - A_Cm","500.186","0.002","211.864","0","40.339","0.627","937.494","0.02","17.59","0.517","238.125","0.002","121.308","0.069","53.16","0.02","237.989","0","99.263","0.189"
"3","D_Sp_int2 - A_Cm","472.909","0.01","221.056","0","189.456","0.081","538.271","0.042","99.141","0.012","179.605","0.019","194.862","0.002","80.122","0.005","125.873","0","13.176","0.826"
"4","E_Sp_old - A_Cm","277.682","0.02","152.538","0","1417.826","0.002","240.866","0.291","34.753","0.19","37.666","0.338","50.69","0.335","14.073","0.39","27.987","0.014","20.513","0.674"
