"","Env","DF","BI","CI","PPI","PPI.1","MI","MI25","N"
"1","crop","1","0.77","0.75","0.02","0.32","1.19","0.15","16.93"
"2","crop","1","0.77","0.75","0.02","0.32","1.19","0.15","16.93"
