"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","1","1","0.15208096078279"," 1 ","2","2","0.639275689946056"," 1 "
"2","3","1","0.216256834643792"," 12","4","2","0.664321741444443"," 12"
"3","2","1","0.221154851745421"," 12","1","2","0.696826348957806"," 12"
"4","4","1","0.235043981334551"," 12","3","2","0.72930185156905"," 12"
"5","3","2","0.270698138834092"," 12","4","1","0.764956236932096"," 12"
"6","1","2","0.303173361853609"," 12","2","1","0.778844998097578"," 12"
"7","4","2","0.335678200449234"," 12","3","1","0.783743207460275"," 12"
"8","2","2","0.360724559529561","  2","1","1","0.847919187046481","  2"
