"","Tylenchidae","Aphelenchidae","Hoplolaimidae","Cephalobidae","Plectidae","Telotylenchidae"
"R2m",0.247493010509858,0.350296999343666,0.64963500528757,0.461198799725506,0.733401633188848,0.436409451301534
"R2c",0.692398584353959,0.771696097195594,0.886726964678916,0.890045863301445,0.927920761267909,0.547939467858738
