"","Env","DF","BI","SI","EI","CI","MI","PPI","MI25","sigmaMI","sigmaMI25","PPI.1","SR","rarefy","H","D","J","H1","N"
"1","age_class","3","4.95","1.48","1.06","3.7","2.7","10.75","2.07","8.52","5.14","8.85","0.68","3.3","4.8","6.17","4.36","4.95","10.1"
"2","samcam","1","1.74","1.04","2.37","0.86","4.86","2.77","1.93","44.47","0.66","0.41","5.02","6.08","3.18","2.45","1.25","1.28","0.81"
"3","age_class:samcam","3","17.47","1.85","1.54","0.05","7.91","9.33","4.19","10.33","4.98","9.84","1.57","4.14","5.47","5.6","4.35","6.18","1.05"
