"","Env","DF","Tylenchidae","Aphelenchidae","Hoplolaimidae","Cephalobidae","Plectidae","Telotylenchidae"
"1","age_class","3","0.336","0.136","0","0.076","0.001","0.483"
"2","samcam","1","0.482","0.272","0.703","0.124","0","0.879"
"3","age_class:samcam","3","0.3","0.212","0.015","0","0.003","0.017"
