"","Env","DF","BI","CI","PPI","PPI.1","MI","MI25","N"
"1","age_class","3","0.129","0","0.005","0.031","0.519","0.657","0.007"
"2","samcam","1","0.091","0.097","0","0","0.001","0.014","0.393"
"3","age_class:samcam","3","0.015","0.202","0","0","0","0.01","0.584"
