"","Env","Df","N","MI","MI2.5","PPI","summedMI","summedMI2.5","PPI.MI","BI","EI","SI","CI","NCR","SR","rarefy","H","D","J","H1"
"1","age_class","4","0.869","0.196","0.398","0.004","0.367","0.576","0.008","0.595","0.356","0.761","0.758","0.84","0.78","0.699","0.002","0.005","0","0.01"
"2","samcam","1","0","0.338","0.268","0.015","0.264","0.194","0.978","0.491","0.544","0.328","0.448","0.726","0.157","0.191","0.001","0.002","0.005","0.022"
"3","pH","1","0.808","0.409","0.568","0.217","0.721","0.751","0.238","0.67","0.783","0.528","0.668","0.978","0.83","0.893","0.548","0.839","0.401","0.427"
"4","c","1","0.385","0.904","0.719","0.297","0.959","0.592","0.405","0.387","0.468","0.838","0.097","0.105","0.441","0.468","0.605","0.914","0.957","0.683"
"5","mc","1","0.083","0.379","0.305","0.792","0.461","0.36","0.424","0.098","0.494","0.357","0.045","0.195","0.403","0.509","0.534","0.851","0.691","0.738"
"6","clay","1","0.221","0.524","0.791","0.019","0.624","0.924","0.625","0.206","0.205","0.552","0.759","0.483","0.125","0.096","0.049","0.155","0.071","0.038"
"7","intensity","1","0.588","0.195","0.492","0.003","0.582","0.317","0.006","0.763","0.116","0.565","0.253","0.293","0.973","0.976","0.385","0.508","0.657","0.272"
"8","fertilisation","1","0.506","0.83","0.288","0.134","0.544","0.302","0.673","0.261","0.266","0.483","0.067","0.075","0.587","0.695","0.174","0.102","0.132","0.334"
"9","ata1","1","0.648","0.974","0.361","0.042","0.72","0.274","0.278","0.007","0.012","0.434","0.011","0.533","0.485","0.468","0.005","0.008","0.047","0.022"
"10","prec1","1","0.979","0.346","0.282","0.652","0.605","0.364","0.405","0.386","0.807","0.213","0.572","0.649","0.882","0.984","0.902","0.708","0.964","0.719"
"11","age_class:samcam","4","0.703","0.504","0.547","0.133","0.244","0.294","0.803","0.623","0.386","0.88","0.511","0.603","0.666","0.501","0","0","0","0"
