"","Aphelenchidae","Aphelenchoididae","Diphterophoridae","Leptonchidae","Diplogasteridae","Panagrolaimidae","Rhabditidae","Cephalobidae","Plectidae","Alaimidae","Nordiidae","Qudsianematidae","Aporcelaimidae","Belondiridae","Thornenematidae","Anatonchidae","Mononchidae","Discolaimidae","Nygolaimidae","Psilenchidae","Tylenchidae","Criconematidae","Telotylenchidae","Hoplolaimidae","Pratylenchidae"
"data1",173,114,6,3,1,113,191,643,104,5,2,58,73,3,27,9,53,4,2,11,525,1,320,660,25
"data2",19,18,2,1,0,14,27,30,20,1,0,12,12,1,8,3,13,1,1,3,27,0,21,23,5
