"","Env","DF","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae","Rhabditidae","Rhabditidae","Aporcelaimidae","Aporcelaimidae","Aphelenchoididae","Aphelenchoididae","Panagrolaimidae","Panagrolaimidae"
"1","X","X","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value"
"2","NA","NA","5.35","0.148","5.35","0.148","NA","NA","10.33","0.016","12.82","0.005","5.56","0.135","19.23","0","NA","NA","NA","NA","NA","NA"
"3","NA","NA","1.03","0.311","1.68","0.194","NA","NA","2.03","0.155","11.38","0.001","1.21","0.272","3.04","0.081","NA","NA","NA","NA","NA","NA"
"4","NA","NA","0","1","8.48","0.037","NA","NA","5.34","0.149","3.68","0.299","59.7","0","14.3","0.003","NA","NA","NA","NA","NA","NA"
"5","R2m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","R2c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","X","X","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin"
