"","Env","DF","fungivores","fungivores","bacterivores","bacterivores"
"1","X","X","CHI2","p-value","CHI2","p-value"
"2","(Intercept)","1","41.36","0","41.36","0"
"3","age_class","3","2.38","0.496","2.38","0.496"
"4","samcam","1","5.78","0.016","5.78","0.016"
"5","age_class:samcam","3","1.57","0.666","1.57","0.666"
"6","R2m",NA,NA,"0.04",NA,"0.04"
"7","R2c",NA,NA,"0.04",NA,"0.04"
"8","X","X","binomial","binomial","binomial","binomial"
