"","Env","DF","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"2","age_class","3","3.62","0.305","11.05","0.011","212088.02","0","8.06","0.045","18.14","0","0.63","0.89"
"3","samcam","1","0.36","0.551","2.71","0.1","32926.99","0","1.7","0.193","93.61","0","0.05","0.823"
"4","age_class:samcam","3","1.49","0.685","2.64","0.45","142408.87","0","11.85","0.008","19.51","0","0.87","0.832"
"5","R2m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","R2c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","X","X","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin","NegBin"
