"","Env","DF","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"2","age_class","3","3.29","0.349","12.9","0.005","1.96","0.581","0.75","0.862","2.09","0.555","6.67","0.083","19.16","0","2.48","0.48"
"3","samcam","1","1.09","0.296","0.3","0.586","14.87","0","0.67","0.413","0.19","0.665","3.74","0.053","1.39","0.239","0.18","0.673"
"4","age_class:samcam","3","4.17","0.244","11.38","0.01","1.55","0.672","2.77","0.428","1.31","0.728","8.13","0.043","10.43","0.015","4.54","0.209"
"5","R2m",NA,NA,"0.07",NA,"0.1",NA,"0.18",NA,"0.02",NA,"0.06",NA,"0.2",NA,"0.14",NA,"0.06"
"6","R2c",NA,NA,"0.17",NA,"0.1",NA,"0.23",NA,"0.05",NA,"0.23",NA,"0.41",NA,"0.14",NA,"0.21"
"7","X","X","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial","binomial"
