"","Env","DF","fungivores","fungivores","bacterivores","bacterivores"
"1","X","X","CHI2","p-value","CHI2","p-value"
"2","age_class","4","0","27.99","0","27.99"
"3","R2m",NA,NA,"0.17",NA,"0.17"
"4","R2c",NA,NA,"0.17",NA,"0.17"
"5","X","X","binomial","binomial","binomial","binomial"
