"","Env","DF","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"2","age_class","3","3.95","0.267","7.39","0.06","18.46","0","5.48","0.14","18.15","0","1.23","0.747"
"3","samcam","1","32.43","0","122.47","0","76.49","0","67.94","0","95.22","0","55.12","0"
"4","age_class:samcam","3","206.22","0","60.14","0","144.9","0","619.1","0","19.7","0","309.2","0"
"5","R2m",NA,NA,"0.25",NA,"0.35",NA,"0.63",NA,"0.46",NA,"0.73",NA,"0.44"
"6","R2c",NA,NA,"0.69",NA,"0.77",NA,"0.87",NA,"0.89",NA,"0.93",NA,"0.55"
"7","X","X","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson"
