"","Factor1","Factor1","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae"
"1","age_class","samcam","response","group","response","group","response","group","response","group","response","group","response","group"
"2","B_Sp_young","2","120.555159284924"," 1","9.26947261588262"," 1 ","232.817932065696"," 1     ","310.31396640639"," 12","24.3630689471368"," 12  ","15.9999983379434"," 1"
"3","C_Sp_int1","2","187.90618734315"," 1","104.501744651747"," 12","15.9209298066281","  2    ","316.2725705482"," 12","3.05944173016068","   3 ","123.999776487505"," 1"
"4","D_Sp_int2","2","79.5134766647625"," 1","25.8898109791868"," 12","12.9731849305823","   3   ","34.4262276974609"," 1 ","7.66866488439431"," 1 3 ","92.6666621168608"," 1"
"5","E_Sp_old","2","39.5221587541089"," 1","118.409779831"," 12","686.410470450315"," 1     ","77.6699644612532"," 12","2.07010017516349","   3 ","3.00000171945819"," 1"
"6","B_Sp_young","4","105.395029262324"," 1","12.7879309309013"," 12","27.7949428152877","    4  ","120.081051926841"," 12","68.6980656697693","    4","114.499997408686"," 1"
"7","C_Sp_int1","4","164.305223938414"," 1","101.667235754004"," 12","10.8304378269781","     5 ","457.501880986842","  2","3.52674582218965"," 1 3 ","40.6667010434327"," 1"
"8","D_Sp_int2","4","224.496034189092"," 1","104.219397314681"," 12","34.6828045621772","      6","146.195907147796"," 12","33.4705472484062","  2 4","21.6666733824801"," 1"
"9","E_Sp_old","4","61.6844657047856"," 1","195.744566418689","  2","508.971886708324"," 1     ","125.057140983813"," 12","21.2592671410095"," 12 4","29.3333256494188"," 1"
