"","Env","DF","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"2","(Intercept)","1","23.28","0","436.54","0","0.12","0.734","37.98","0","54.95","0","69.53","0","387.13","0","139.77","0"
"3","age_class","3","4.91","0.179","4.3","0.231","2.01","0.571","0.85","0.838","1.49","0.684","7.55","0.056","19.32","0","4.11","0.25"
"4","samcam","1","0.06","0.802","17.95","0","2.81","0.094","4.93","0.026","3.5","0.061","0.07","0.788","0.04","0.85","1.71","0.191"
"5","age_class:samcam","3","7.73","0.052","26.66","0","2.77","0.428","10.96","0.012","4.58","0.205","0.7","0.873","13.65","0.003","14.67","0.002"
"6","R2m",NA,NA,"0.36",NA,"0.47",NA,"0.4",NA,"0.23",NA,"0.23",NA,"0.43",NA,"0.6",NA,"0.35"
"7","R2c",NA,NA,"0.65",NA,"0.75",NA,"0.59",NA,"0.78",NA,"0.68",NA,"0.85",NA,"0.86",NA,"0.77"
"8","X","X","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson"
