ID	field.ID	location	field	dgO	dgN	area	WRB	BO_Syst	soty	crop	age_class	age	y_est	samcam	season	year	date	pH	mc	c	n	cn	sand	silt	clay	ata1	atb1	hum1	ats1	prec1	rad1	ata2	atb2	hum2	ats2	prec2	rad2	soil_coverage	soil_tillage	fertilisation	weed_control	soil_compaction	compaction
18	3	Dornburg	DO_2005	11.656257	51.003652	921	Mollic_Leptosol	BB-RR	uuT	Silphie	E_Sp_old	7	2005	2	autumn	2012	18.09.2012	4.85	16.41	1.38	0.12	11.78	6.10	63.00	30.90	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130	50x50	0	3	2	2	2
19	4	Dornburg	DO_2007	11.657904	51.000938	2319	Mollic_Leptosol	BB-RR	uuT	Silphie	D_Sp_int2	5	2007	2	autumn	2012	17.09.2012	6.80	13.95	1.28	0.13	9.89	7.20	63.20	29.60	17.26	17.76	66.73	19.15	1.47	3918.60	14.78	14.84	71.10	16.25	0.00	3329	50x50	0	3	2	2	2
20	5	Erfurt	EF_2007	11.005805	50.98336	172	Chernozem	TTn	uuT	Silphie	D_Sp_int2	5	2007	2	autumn	2012	16.10.2012	7.22	27.38	2.05	0.15	13.27	12.70	60.20	27.10	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	1	2	2
21	6	Pahren	PA_2007	11.89876	50.653093	6676	stagnic_Luvisol	SSn	ttU	Silphie	D_Sp_int2	5	2007	2	autumn	2012	19.09.2012	5.87	20.00	2.53	0.27	9.22	28.90	51.10	20.00	15.80	16.82	69.39	16.00	2.15	4485.67	9.98	11.52	72.06	13.83	5.00	4376	50x50	0	4	3	4	2
22	7	Dornburg	DO_2009	11.657303	51.000746	1609	Mollic_Leptosol	BB-RR	uuT	Silphie	C_Sp_int1	3	2009	2	autumn	2012	17.09.2012	6.55	12.18	1.11	0.12	9.20	10.10	62.40	27.50	17.26	17.76	66.73	19.15	1.47	3918.60	14.78	14.84	71.10	16.25	0.00	3329	50x50	0	3	2	2	2
23	8	Erfurt	EF_2009	11.004722	50.981567	2818	Chernozem	TTn	uuT	Silphie	C_Sp_int1	3	2009	2	autumn	2012	16.10.2012	7.24	19.50	2.41	0.17	14.34	10.20	62.10	27.70	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	1	3	2
24	9	Poppenburg	PO_2009	9.780602	52.145969	120	Haplic_Luvisol	LLn	tU	Silphie	C_Sp_int1	3	2009	2	autumn	2012	23.10.2012	6.26	13.48	1.11	0.11	9.72	16.90	68.60	14.50	10.41	10.65	84.22	11.47	1.60	2006.30	9.86	10.29	97.45	11.98	0.00	472	50x50	0	3	2	3	2
25	10	Erfurt	EF_2011	10.999336	50.980493	9247	Chernozem	TTn	uuT	Silphie	B_Sp_young	1	2011	2	autumn	2012	16.10.2012	7.36	18.35	2.40	0.12	19.78	12.70	58.00	29.30	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	4	4	2
26	11	Niederdorla	ND_2011	10.399994	51.136251	9278	Stagnic_Luvisol	SS-LL	tU	Silphie	B_Sp_young	1	2011	2	autumn	2012	08.11.2012	6.77	30.70	2.54	0.27	9.50	10.10	69.60	20.30	7.11	6.75	89.54	7.86	1.13	1421.97	7.87	7.45	81.59	6.97	0.00	390	50x50	0	2	4	4	3
27	12	Ronneberg	RO_2011	9.609485	52.295013	1197	Haplic_Luvisol	LLn	ttU	Silphie	B_Sp_young	1	2011	2	autumn	2012	23.10.2012	5.30	18.91	1.46	0.14	10.61	10.40	75.10	14.50	11.81	11.41	82.77	12.03	3.00	2046.00	10.85	10.89	94.55	12.53	0.00	383	60x60	0	4	4	5	3
